"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19805","addIncome: Add a $1,000,000 income successfully","","Sat May 10 15:21:36 CEST 2025","passed","Sat May 10 15:21:56 CEST 2025","","","",""
"","28394","switchCurrency: Change currency from US Dollar to Pound Sterling","","Sat May 10 15:20:08 CEST 2025","passed","Sat May 10 15:20:36 CEST 2025","","","",""
"","28594","switchCurrency: Change currency from US Dollar to Pound Sterling","","Sat May 10 19:41:11 CEST 2025","passed","Sat May 10 19:41:39 CEST 2025","","","",""
"","48741","currencyCurrency: Convert balance amount from Pound Sterling to Euro","","Sat May 10 19:40:15 CEST 2025","passed","Sat May 10 19:41:04 CEST 2025","","","",""
"","27901","transferBetweenAccounts: Transfer $50 from Cash to Payment","","Sat May 10 19:42:38 CEST 2025","passed","Sat May 10 19:43:06 CEST 2025","","","",""
"","33363","transferBetweenAccounts: Transfer $50 from Cash to Payment","","Sat May 10 15:22:13 CEST 2025","passed","Sat May 10 15:22:46 CEST 2025","","","",""
"","48293","currencyCurrency: Convert balance amount from Pound Sterling to Euro","","Sat May 10 15:19:01 CEST 2025","passed","Sat May 10 15:19:50 CEST 2025","","","",""
"","27092","addAndDeleteExpense: Add and delete $500 expense for clothes","","Sat May 10 15:20:52 CEST 2025","passed","Sat May 10 15:21:19 CEST 2025","","","",""
"","16345","addIncome: Add a $1,000,000 income successfully","","Sat May 10 19:42:14 CEST 2025","passed","Sat May 10 19:42:31 CEST 2025","","","",""
"","22581","addAndDeleteExpense: Add and delete $500 expense for clothes","","Sat May 10 19:41:46 CEST 2025","passed","Sat May 10 19:42:08 CEST 2025","","","",""
